Ala	109.26	101.2	106.4	70.87	102.1	116.9	38.39	99.6	94.1
Arg	240.86	100.9	102.3	203.86	101.3	104.7	36.99	98.6	92.1
Asn	153.32	106.5	98.8	115.62	108.8	102.6	37.70	100.0	89.4
Asp	145.05	103.3	102.4	107.27	104.5	107.1	37.78	100.2	92.0
Cys	135.41	100.8	106.0	98.36	101.7	114.0	37.06	98.7	91.7
Gln	182.08	102.0	103.8	145.09	102.9	108.3	36.99	98.6	91.3
Glu	172.91	100.4	99.7	135.92	100.9	99.3	36.99	98.6	101.9
Gly	81.47	101.7	115.9	33.43	103.4	0	48.04	100.6	115.9
His	180.89	98.9	97.9	145.31	98.8	100.3	35.58	99.4	89.9
Ile	176.89	101.0	100.4	139.59	101.2	103.7	37.30	100.4	90.9
Leu	176.26	98.7	95.6	139.27	98.7	97.1	36.99	98.6	90.9
Lys	201.42	100.3	104.0	164.43	100.7	107.9	36.99	98.6	91.2
Met	194.30	100.1	98.7	157.31	100.4	101.4	36.99	98.6	89.9
Phe	201.72	101.1	96.2	166.30	101.3	99.6	35.42	100.1	83.9
Pro	136.58	100.3	107.7	120.13	100.2	111.1	16.45	101.4	96.0
Ser	117.56	100.9	105.0	79.76	102.1	107.1	37.80	98.4	101.7
Thr	140.92	101.2	104.9	103.23	101.5	111.8	37.69	100.3	91.7
Trp	246.13	98.7	97.8	208.14	98.5	98.2	38.00	99.7	95.4
Tyr	214.49	100.8	95.5	178.90	100.9	97.9	35.59	100.6	85.7
Val	153.26	101.2	103.2	116.57	102.0	108.8	36.69	98.7	90.4
